ASIN,Product Name,Field,CSV Value,Live Value,Change
B0GR6BVYS5,Apple 2026 MacBook Neo 13-inch Laptop with A18 Pro chip,Review Count,220,615,395
B0DW1X5YCQ,ASUS ROG Strix G16 Gaming Laptop,Price,2551.79,2570,18.21
B0DW1X5YCQ,ASUS ROG Strix G16 Gaming Laptop,Review Count,152,172,20
B0DYLB2QRF,Razer Blade 14 Gaming Laptop,Price,2299.99,2349.99,50
B0DYLB2QRF,Razer Blade 14 Gaming Laptop,Rating,4.3,4.4,0.1
B0DYLB2QRF,Razer Blade 14 Gaming Laptop,Review Count,43,44,1
B0DGLSB5NC,Samsung Galaxy Book5 Pro 360,Price,1478,1849,371
B0DGLSB5NC,Samsung Galaxy Book5 Pro 360,Review Count,315,165,-150
B0CXKXNNPX,Microsoft Surface Pro 11th Edition,Price,1099.99,1325.79,225.8
B0CXKXNNPX,Microsoft Surface Pro 11th Edition,Rating,4.3,4.4,0.1
B0CXKXNNPX,Microsoft Surface Pro 11th Edition,Review Count,159,174,15
B0FCPP5K2R,ASUS ROG Zephyrus G14 Gaming,Price,2559.99,3155,595.01
B0FCPP5K2R,ASUS ROG Zephyrus G14 Gaming,Rating,5,4.6,-0.4
B0FCPP5K2R,ASUS ROG Zephyrus G14 Gaming,Review Count,3,4,1
B0D2RYV5ZG,Lenovo ThinkPad X1 Carbon Gen 12,Price,1499.99,1699.99,200
B0D2RYV5ZG,Lenovo ThinkPad X1 Carbon Gen 12,Rating,4.5,4.6,0.1
B0D2RYV5ZG,Lenovo ThinkPad X1 Carbon Gen 12,Review Count,12,15,3
B0DGJBQSJY,Apple AirPods Max,Price,449.99,4.6,-445.39
B0DGJBQSJY,Apple AirPods Max,Rating,4.6,16685,16680.4
B0CBLLJTTN,Beats Studio3 Wireless,Price,91.22,87.52,-3.7
B0CBLLJTTN,Beats Studio3 Wireless,Review Count,2390,2508,118
B0CHWRXH8B,Apple AirPods Pro 2nd Gen,Price,258.3,263.86,5.56
B0CHWRXH8B,Apple AirPods Pro 2nd Gen,Review Count,28624,28802,178
